air_temp,albedo,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,dhi,dni,ghi,gti,precipitation_rate,zenith,weather_type,period_end,period
17,0.15,-168,0,0,0,0,0,0,0,0,0,0,122,CLEAR,2023-01-01T01:00:00+01:00,PT60M
16,0.15,-153,0,0,0,0,1.5,0,0,0,0,0,118,MOSTLY CLEAR,2023-01-01T02:00:00+01:00,PT60M
16,0.15,-140,0,0,0,0,2.7,0,0,0,0,0,111,MOSTLY CLEAR,2023-01-01T03:00:00+01:00,PT60M
16,0.15,-129,0,0,0,0,3,0,0,0,0,0,102,MOSTLY CLEAR,2023-01-01T04:00:00+01:00,PT60M
16,0.15,-120,3,25,6,7,1.9,4,22,6,7,0,92,MOSTLY CLEAR,2023-01-01T05:00:00+01:00,PT60M
17,0.15,-112,40,515,130,288,3.2,47,452,126,267,0,81,MOSTLY SUNNY,2023-01-01T06:00:00+01:00,PT60M
20,0.15,-104,64,774,345,690,0.9,68,752,343,679,0,69,MOSTLY SUNNY,2023-01-01T07:00:00+01:00,PT60M
24,0.15,-97,77,891,568,880,0,77,891,568,880,0,57,SUNNY,2023-01-01T08:00:00+01:00,PT60M
27,0.15,-89,85,956,770,1008,0,85,956,770,1008,0,44,SUNNY,2023-01-01T09:00:00+01:00,PT60M
29,0.15,-79,91,993,933,1083,0,91,993,933,1083,0,32,SUNNY,2023-01-01T10:00:00+01:00,PT60M
31,0.15,-62,94,1012,1043,1112,0,94,1012,1043,1112,0,20,SUNNY,2023-01-01T11:00:00+01:00,PT60M
33,0.15,-19,99,1013,1090,1105,0,99,1013,1090,1105,0,12,SUNNY,2023-01-01T12:00:00+01:00,PT60M
33,0.15,42,101,1006,1073,1078,0,101,1006,1073,1078,0,15,SUNNY,2023-01-01T13:00:00+01:00,PT60M
34,0.15,71,106,978,991,1041,0,106,978,991,1041,0,25,SUNNY,2023-01-01T14:00:00+01:00,PT60M
34,0.15,84,102,944,854,1005,0,102,944,854,1005,0,37,SUNNY,2023-01-01T15:00:00+01:00,PT60M
33,0.15,93,94,890,671,966,0,94,890,671,966,0,50,SUNNY,2023-01-01T16:00:00+01:00,PT60M
32,0.15,100,82,799,459,902,0,82,799,459,902,0,62,SUNNY,2023-01-01T17:00:00+01:00,PT60M
30,0.15,107,63,628,239,547,0,63,628,239,547,0,74,SUNNY,2023-01-01T18:00:00+01:00,PT60M
27,0.15,115,24,217,51,99,0.9,24,217,51,99,0,86,MOSTLY SUNNY,2023-01-01T19:00:00+01:00,PT60M
24,0.15,124,0,0,0,0,0.1,0,0,0,0,0,97,MOSTLY CLEAR,2023-01-01T20:00:00+01:00,PT60M
23,0.15,134,0,0,0,0,0,0,0,0,0,0,106,CLEAR,2023-01-01T21:00:00+01:00,PT60M
21,0.15,145,0,0,0,0,0.9,0,0,0,0,0,114,MOSTLY CLEAR,2023-01-01T22:00:00+01:00,PT60M
20,0.15,160,0,0,0,0,2.2,0,0,0,0,0,120,MOSTLY CLEAR,2023-01-01T23:00:00+01:00,PT60M
20,0.15,175,0,0,0,0,2.8,0,0,0,0,0,123,MOSTLY CLEAR,2023-01-02T00:00:00+01:00,PT60M
19,0.14,-168,0,0,0,0,2.5,0,0,0,0,0,122,MOSTLY CLEAR,2023-01-02T01:00:00+01:00,PT60M
19,0.14,-153,0,0,0,0,4.5,0,0,0,0,0,118,MOSTLY CLEAR,2023-01-02T02:00:00+01:00,PT60M
18,0.14,-140,0,0,0,0,4,0,0,0,0,0,111,MOSTLY CLEAR,2023-01-02T03:00:00+01:00,PT60M
18,0.14,-129,0,0,0,0,6.8,0,0,0,0,0,102,MOSTLY CLEAR,2023-01-02T04:00:00+01:00,PT60M
19,0.14,-120,3,20,5,6,2.8,3,17,5,6,0,92,MOSTLY CLEAR,2023-01-02T05:00:00+01:00,PT60M
20,0.14,-112,40,496,126,277,1.2,43,471,124,268,0,81,MOSTLY SUNNY,2023-01-02T06:00:00+01:00,PT60M
22,0.14,-104,63,764,340,681,0.6,65,750,338,673,0,69,MOSTLY SUNNY,2023-01-02T07:00:00+01:00,PT60M
24,0.14,-97,73,893,563,876,0,73,893,563,876,0,57,SUNNY,2023-01-02T08:00:00+01:00,PT60M
27,0.14,-89,80,958,765,1004,0,80,958,765,1004,0,44,SUNNY,2023-01-02T09:00:00+01:00,PT60M
30,0.14,-79,86,994,928,1079,0,86,994,928,1079,0,32,SUNNY,2023-01-02T10:00:00+01:00,PT60M
32,0.14,-62,93,1008,1038,1108,0,93,1008,1038,1108,0,20,SUNNY,2023-01-02T11:00:00+01:00,PT60M
33,0.14,-19,95,1015,1088,1104,0,95,1015,1088,1104,0,12,SUNNY,2023-01-02T12:00:00+01:00,PT60M
34,0.14,42,95,1012,1074,1078,0,95,1012,1074,1078,0,15,SUNNY,2023-01-02T13:00:00+01:00,PT60M
35,0.14,71,93,999,997,1046,0,93,999,997,1046,0,25,SUNNY,2023-01-02T14:00:00+01:00,PT60M
34,0.14,84,89,969,861,1013,0,89,969,861,1013,0,37,SUNNY,2023-01-02T15:00:00+01:00,PT60M
34,0.14,93,86,911,677,976,0,86,911,677,976,0,50,SUNNY,2023-01-02T16:00:00+01:00,PT60M
33,0.14,100,76,823,465,917,0,76,823,465,917,0,62,SUNNY,2023-01-02T17:00:00+01:00,PT60M
31,0.14,107,59,657,243,562,0,59,657,243,562,0,74,SUNNY,2023-01-02T18:00:00+01:00,PT60M
29,0.14,115,23,238,53,104,1.5,23,237,53,104,0,86,MOSTLY SUNNY,2023-01-02T19:00:00+01:00,PT60M
27,0.14,123,0,0,0,0,3.9,0,0,0,0,0,97,MOSTLY CLEAR,2023-01-02T20:00:00+01:00,PT60M
25,0.14,133,0,0,0,0,2.4,0,0,0,0,0,106,MOSTLY CLEAR,2023-01-02T21:00:00+01:00,PT60M
24,0.14,145,0,0,0,0,3.7,0,0,0,0,0,114,MOSTLY CLEAR,2023-01-02T22:00:00+01:00,PT60M
23,0.14,159,0,0,0,0,4.2,0,0,0,0,0,120,MOSTLY CLEAR,2023-01-02T23:00:00+01:00,PT60M
22,0.14,175,0,0,0,0,4.9,0,0,0,0,0,123,MOSTLY CLEAR,2023-01-03T00:00:00+01:00,PT60M
21,0.14,-168,0,0,0,0,4.7,0,0,0,0,0,122,MOSTLY CLEAR,2023-01-03T01:00:00+01:00,PT60M
20,0.14,-153,0,0,0,0,5.6,0,0,0,0,0,118,MOSTLY CLEAR,2023-01-03T02:00:00+01:00,PT60M
19,0.14,-140,0,0,0,0,3.1,0,0,0,0,0,111,MOSTLY CLEAR,2023-01-03T03:00:00+01:00,PT60M
18,0.14,-129,0,0,0,0,1.5,0,0,0,0,0,102,MOSTLY CLEAR,2023-01-03T04:00:00+01:00,PT60M
17,0.14,-120,3,16,5,6,4.6,3,12,4,5,0,92,MOSTLY CLEAR,2023-01-03T05:00:00+01:00,PT60M
18,0.14,-112,41,475,124,269,0.4,42,470,124,268,0,81,MOSTLY SUNNY,2023-01-03T06:00:00+01:00,PT60M
20,0.14,-104,67,757,340,680,0,67,757,340,680,0,69,SUNNY,2023-01-03T07:00:00+01:00,PT60M
22,0.14,-97,78,897,569,887,0,78,897,569,887,0,57,SUNNY,2023-01-03T08:00:00+01:00,PT60M
24,0.14,-89,86,973,780,1026,0,86,973,780,1026,0,44,SUNNY,2023-01-03T09:00:00+01:00,PT60M
26,0.14,-79,92,1017,952,1109,0,92,1017,952,1109,0,32,SUNNY,2023-01-03T10:00:00+01:00,PT60M
28,0.14,-62,95,1040,1069,1142,0,95,1040,1069,1142,0,20,SUNNY,2023-01-03T11:00:00+01:00,PT60M
29,0.14,-19,97,1046,1120,1137,0,97,1046,1120,1137,0,12,SUNNY,2023-01-03T12:00:00+01:00,PT60M
29,0.14,41,102,1037,1104,1109,0,102,1037,1104,1109,0,15,SUNNY,2023-01-03T13:00:00+01:00,PT60M
30,0.14,70,106,1011,1022,1071,0,106,1011,1022,1071,0,25,SUNNY,2023-01-03T14:00:00+01:00,PT60M
29,0.14,84,111,962,878,1030,0,111,962,878,1030,0,37,SUNNY,2023-01-03T15:00:00+01:00,PT60M
27,0.14,93,108,890,687,983,0,108,890,687,983,0,49,SUNNY,2023-01-03T16:00:00+01:00,PT60M
25,0.14,100,100,770,465,897,0,100,770,465,897,0,62,SUNNY,2023-01-03T17:00:00+01:00,PT60M
22,0.14,107,75,575,238,529,24.3,120,204,189,314,0,74,PARTLY CLOUDY,2023-01-03T18:00:00+01:00,PT60M
20,0.14,115,27,174,50,90,59.2,23,0,23,23,0,86,MOSTLY CLOUDY,2023-01-03T19:00:00+01:00,PT60M
19,0.14,123,0,0,0,0,61.1,0,0,0,0,0,96,OVERCAST,2023-01-03T20:00:00+01:00,PT60M
19,0.14,133,0,0,0,0,48.1,0,0,0,0,0.1,106,MOSTLY CLOUDY,2023-01-03T21:00:00+01:00,PT60M
19,0.14,145,0,0,0,0,46.9,0,0,0,0,0.1,114,MOSTLY CLOUDY,2023-01-03T22:00:00+01:00,PT60M
19,0.14,159,0,0,0,0,43.5,0,0,0,0,0.1,120,MOSTLY CLOUDY,2023-01-03T23:00:00+01:00,PT60M
19,0.14,175,0,0,0,0,43.8,0,0,0,0,0.3,123,RAIN,2023-01-04T00:00:00+01:00,PT60M
18,0.14,-169,0,0,0,0,57.8,0,0,0,0,0.2,122,RAIN,2023-01-04T01:00:00+01:00,PT60M
